Riding,Voter Number,Rank Ballot,Range Ballot,Approval Ballot
0,1,NDP;LIBERAL;GREEN;CPC,2;2;2;3,YES;YES;YES;YES
0,2,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;NO;NO;NO
0,3,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
0,4,LIBERAL;CPC;GREEN;NDP,1;1;2;1,NO;NO;YES;NO
0,5,NDP;LIBERAL;GREEN;CPC,1;2;3;3,NO;YES;YES;YES
0,6,NDP;LIBERAL;CPC;GREEN,1;1;1;5,NO;NO;NO;YES
0,7,NDP;LIBERAL;CPC;GREEN,1;1;2;3,NO;NO;NO;YES
0,8,LIBERAL;NDP;GREEN;CPC,3;3;5;4,NO;NO;YES;NO
0,9,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
0,10,LIBERAL;NDP;GREEN;CPC,1;2;4;3,NO;YES;YES;YES
0,11,LIBERAL;NDP;GREEN;CPC,1;1;3;2,NO;NO;YES;YES
0,12,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;YES;YES;YES
0,13,LIBERAL;NDP;CPC;GREEN,1;1;4;2,NO;NO;YES;NO
0,14,LIBERAL;NDP;GREEN;CPC,1;1;2;1,NO;NO;YES;NO
0,15,LIBERAL;NDP;GREEN;CPC,1;1;2;1,YES;YES;YES;YES
0,16,GREEN;LIBERAL;CPC;NDP,1;3;1;1,YES;YES;YES;YES
0,17,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;NO;YES;YES
0,18,NDP;GREEN;LIBERAL;CPC,1;1;1;2,YES;YES;YES;YES
0,19,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;YES;YES;YES
0,20,LIBERAL;GREEN;NDP;CPC,1;2;3;2,NO;NO;YES;NO
0,21,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;YES
1,22,CPC;NDP;LIBERAL;GREEN,4;2;3;4,YES;NO;NO;YES
1,23,LIBERAL;NDP;GREEN;CPC,2;2;4;3,NO;NO;YES;NO
1,24,NDP;GREEN;LIBERAL;CPC,2;4;3;4,YES;YES;YES;YES
1,25,CPC;GREEN;LIBERAL;NDP,4;2;1;1,YES;YES;NO;NO
1,26,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;NO
1,27,CPC;GREEN;NDP;LIBERAL,4;2;1;2,YES;NO;NO;NO
1,28,LIBERAL;NDP;CPC;GREEN,2;2;3;2,NO;NO;YES;NO
1,29,NDP;GREEN;LIBERAL;CPC,1;3;1;4,YES;YES;YES;YES
1,30,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
1,31,NDP;GREEN;LIBERAL;CPC,1;2;1;3,NO;NO;NO;YES
1,32,CPC;LIBERAL;NDP;GREEN,3;1;1;1,YES;YES;YES;YES
1,33,LIBERAL;GREEN;NDP;CPC,2;3;4;2,YES;YES;YES;YES
1,34,NDP;GREEN;CPC;LIBERAL,1;1;1;2,YES;YES;YES;YES
1,35,CPC;LIBERAL;NDP;GREEN,4;1;3;2,YES;NO;YES;YES
1,36,GREEN;NDP;CPC;LIBERAL,2;4;1;3,NO;YES;NO;NO
1,37,CPC;LIBERAL;NDP;GREEN,5;2;4;2,YES;YES;YES;YES
1,38,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
1,39,LIBERAL;NDP;CPC;GREEN,1;1;3;2,NO;NO;YES;NO
1,40,CPC;GREEN;NDP;LIBERAL,3;2;1;1,YES;YES;NO;NO
1,41,NDP;GREEN;CPC;LIBERAL,1;3;1;3,NO;YES;NO;YES
1,42,NDP;LIBERAL;GREEN;CPC,2;4;4;4,YES;YES;YES;YES
1,43,LIBERAL;GREEN;NDP;CPC,1;2;4;1,NO;NO;YES;NO
2,44,CPC;GREEN;NDP;LIBERAL,4;3;1;2,YES;YES;YES;YES
2,45,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;NO;NO;YES
2,46,NDP;GREEN;LIBERAL;CPC,1;2;1;4,NO;NO;NO;YES
2,47,NDP;LIBERAL;GREEN;CPC,2;2;2;3,YES;YES;YES;YES
2,48,LIBERAL;NDP;CPC;GREEN,1;1;2;1,YES;YES;YES;YES
2,49,NDP;LIBERAL;CPC;GREEN,2;1;2;3,YES;YES;YES;YES
2,50,NDP;GREEN;LIBERAL;CPC,1;3;2;3,YES;YES;YES;YES
2,51,NDP;GREEN;LIBERAL;CPC,1;3;2;4,NO;YES;NO;YES
2,52,NDP;LIBERAL;GREEN;CPC,1;1;2;4,NO;NO;NO;YES
2,53,NDP;GREEN;LIBERAL;CPC,1;3;2;4,YES;YES;YES;YES
2,54,LIBERAL;NDP;GREEN;CPC,1;1;4;3,NO;NO;YES;NO
2,55,CPC;NDP;GREEN;LIBERAL,2;1;1;1,YES;NO;NO;NO
2,56,NDP;LIBERAL;CPC;GREEN,1;1;2;3,YES;YES;YES;YES
2,57,CPC;NDP;LIBERAL;GREEN,4;1;2;3,YES;NO;YES;YES
2,58,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;NO
2,59,LIBERAL;NDP;GREEN;CPC,1;1;3;2,YES;YES;YES;YES
2,60,CPC;GREEN;NDP;LIBERAL,3;2;1;1,YES;NO;NO;NO
2,61,LIBERAL;GREEN;NDP;CPC,1;2;3;1,YES;YES;YES;YES
2,62,CPC;LIBERAL;NDP;GREEN,5;3;5;4,YES;YES;YES;YES
2,63,LIBERAL;GREEN;NDP;CPC,1;2;4;2,NO;NO;YES;NO
2,64,CPC;LIBERAL;GREEN;NDP,4;2;3;2,YES;NO;YES;NO
2,65,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;NO;NO;NO
3,66,NDP;GREEN;LIBERAL;CPC,1;2;2;3,YES;YES;YES;YES
3,67,CPC;NDP;GREEN;LIBERAL,3;1;1;2,YES;NO;NO;YES
3,68,CPC;GREEN;NDP;LIBERAL,3;2;1;1,YES;NO;NO;NO
3,69,LIBERAL;GREEN;CPC;NDP,1;1;1;1,YES;YES;YES;YES
3,70,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;YES
3,71,CPC;NDP;GREEN;LIBERAL,4;2;1;3,YES;YES;YES;YES
3,72,LIBERAL;CPC;NDP;GREEN,2;1;2;2,YES;NO;YES;YES
3,73,NDP;GREEN;LIBERAL;CPC,1;2;1;4,NO;NO;NO;YES
3,74,LIBERAL;NDP;CPC;GREEN,2;1;3;3,YES;YES;YES;YES
3,75,GREEN;NDP;LIBERAL;CPC,1;5;3;3,NO;YES;NO;NO
3,76,NDP;GREEN;CPC;LIBERAL,1;1;1;1,YES;YES;YES;YES
3,77,LIBERAL;NDP;GREEN;CPC,1;1;4;2,NO;NO;YES;NO
3,78,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
3,79,CPC;NDP;LIBERAL;GREEN,3;1;2;2,YES;YES;YES;YES
3,80,NDP;GREEN;CPC;LIBERAL,1;1;1;4,YES;YES;YES;YES
3,81,CPC;LIBERAL;GREEN;NDP,3;2;2;1,YES;YES;YES;NO
3,82,LIBERAL;NDP;CPC;GREEN,1;1;4;2,NO;NO;YES;YES
3,83,CPC;NDP;GREEN;LIBERAL,3;2;1;2,YES;YES;YES;YES
3,84,LIBERAL;NDP;GREEN;CPC,1;1;3;1,YES;YES;YES;YES
3,85,CPC;NDP;GREEN;LIBERAL,3;3;2;3,YES;YES;NO;YES
4,86,LIBERAL;CPC;NDP;GREEN,2;1;4;1,YES;NO;YES;NO
4,87,LIBERAL;NDP;GREEN;CPC,1;2;3;3,NO;YES;YES;YES
4,88,CPC;NDP;GREEN;LIBERAL,4;1;1;2,YES;NO;NO;NO
4,89,LIBERAL;NDP;GREEN;CPC,1;1;4;3,NO;NO;YES;NO
4,90,NDP;LIBERAL;GREEN;CPC,1;1;2;2,YES;YES;YES;YES
4,91,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;NO;NO;NO
4,92,CPC;GREEN;NDP;LIBERAL,2;1;1;1,YES;NO;NO;NO
4,93,CPC;NDP;GREEN;LIBERAL,4;2;2;3,YES;NO;NO;YES
4,94,LIBERAL;CPC;NDP;GREEN,3;1;4;2,NO;NO;YES;NO
4,95,LIBERAL;CPC;NDP;GREEN,1;1;3;1,NO;NO;YES;NO
4,96,LIBERAL;CPC;NDP;GREEN,2;1;3;1,NO;NO;YES;NO
4,97,CPC;NDP;LIBERAL;GREEN,4;1;1;2,YES;NO;NO;NO
4,98,LIBERAL;NDP;GREEN;CPC,2;3;5;4,NO;NO;YES;YES
4,99,LIBERAL;NDP;CPC;GREEN,2;1;4;3,NO;NO;YES;NO
4,100,LIBERAL;CPC;NDP;GREEN,1;1;3;1,NO;NO;YES;NO
4,101,LIBERAL;NDP;GREEN;CPC,2;3;4;4,NO;NO;YES;YES
4,102,LIBERAL;CPC;GREEN;NDP,2;1;4;1,YES;YES;YES;YES
4,103,LIBERAL;NDP;CPC;GREEN,1;1;4;3,NO;NO;YES;YES
4,104,LIBERAL;CPC;NDP;GREEN,2;1;4;2,NO;NO;YES;NO
